ingredient_id,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
ingredient:aromatic_stock_cube_for_fish_dehydrated,15.164415943478,3.360141183,700.0
ingredient:topping_sauce_for_pizza,1.880392431262,2.4688147556,24.4
ingredient:soy_cream_preparation,2.3468065080910003,0.4223502506,22.4
ingredient:seaweed_agar_raw,23.573559772846444,4.832336980590001,396.0
ingredient:sea_lettuce_dried_or_dehydrated,23.573559772846444,4.832336980590001,396.0
ingredient:north_atlantic_rockweed_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:dulse_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:toothed_wrack_or_bladder_wrack_dried_or_dehydrated,23.171603325366544,4.826320195690001,393.0
ingredient:gracilaria_seaweeds_dried_or_dehydrated,23.573559772846444,4.832336980590001,396.0
ingredient:sea_thong_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:tangle_dried_or_dehydrated,23.171603325366544,4.826320195690001,393.0
ingredient:kombu_or_japanese_kelp_dried_or_dehydrated,23.573559772846444,4.832336980590001,396.0
ingredient:sea_belt_dried_or_dehydrated,23.573559772846444,4.832336980590001,396.0
ingredient:sea_lettuce_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:carragheen_mosses_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:laver_dried_or_dehydrated,23.573559772846444,4.832336980590001,396.0
ingredient:spirulina_dried,23.57379955243153,4.833158334690001,396.0
ingredient:wakame_dried_or_dehydrated,23.57379955243153,4.833158334690001,396.0
ingredient:atlantic_wakame_dried_or_dehydrated,23.17136354578145,4.825498841590001,393.0
ingredient:mustard,3.184291189825,0.434007671,30.0
ingredient:mustard_with_grains,3.184291189825,0.434007671,30.0
ingredient:olive_green_stuffed,2.33807438673089,2.0047665055,20.6
ingredient:tapenade_a_puree_of_capers_pitted_black_olives_anchovy_and_herbs_with_olive_oil_and_lemon_juice,3.2334228093789,7.6172407482,37.5
ingredient:vinegar,1.9198516871060995,0.1488407799,17.2
ingredient:vinegar_balsamic,1.9198516871060995,0.1488407799,17.2
ingredient:vinegar_cider,1.6819320770730997,0.6896690276,13.6
ingredient:meal_replacement_low_calorie_custard_cream_desserttype,5.3122207481919,0.8029365755,42.8
ingredient:meal_replacement_low_calorie_in_powder_reconstituted_with_skimmed_milk,5.3122207481919,0.8029365755,42.8
ingredient:meal_replacement_low_calorie_in_powder_reconstituted_with_skimmed_milk_milkshake_type,5.3122207481919,0.8029365755,42.8
ingredient:meal_replacement_low_calorie_readytodrink,5.3122207481919,0.8029365755,42.8
ingredient:cinnamon_powder,18.7965247930358,4.3742990343,78.8
ingredient:cardamom_powder,18.7965247930358,4.3742990343,78.8
ingredient:caraway_seed,18.7965247930358,4.3742990343,78.8
ingredient:cloves,18.786780604095803,4.3703297943,78.7
ingredient:coriander_seed,4.2646721342185705,1.4644250556,32.9
ingredient:cumin_seed,18.7965247930358,4.3742990343,78.8
ingredient:turmeric_powder,18.7967633542186,4.375095484599999,78.8
ingredient:curry_powder,18.7965247930358,4.3742990343,78.8
ingredient:fennel_seed,4.2646721342185705,1.4644250556,32.9
ingredient:fenugreek_seed,18.7965247930358,4.3742990343,78.8
ingredient:ginger_powder,4.043710605448569,2.1825974396,31.7
ingredient:ginger_raw,0.98911400891257,1.7928164526,7.35
