ingredient_id,ingredient_name_en,ingredient_name_fr,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
ingredient:aromatic_stock_cube_for_fish_dehydrated,"Aromatic stock cube, for fish, dehydrated","Court-bouillon pour poissons, déshydraté",15.164415943478,3.360141183,700.0
ingredient:topping_sauce_for_pizza,Topping sauce for pizza,"Pizza, sauce garniture pour",1.880392431262,2.4688147556,24.4
ingredient:soy_cream_preparation,"""Soy """"cream"""" preparation""","""Préparation culinaire à base de soja, type """"crème de soja""""""",2.3468065080910003,0.4223502506,22.4
ingredient:seaweed_agar_raw,"Seaweed, agar, raw","Agar (algue), cru",23.573559772846444,4.832336980590001,396.0
ingredient:sea_lettuce_dried_or_dehydrated,"Sea lettuce (Enteromorpha sp.), dried or dehydrated","Ao-nori (Enteromorpha sp.), séchée ou déshydratée",23.573559772846444,4.832336980590001,396.0
ingredient:north_atlantic_rockweed_dried_or_dehydrated,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",23.17136354578145,4.825498841590001,393.0
ingredient:dulse_dried_or_dehydrated,"Dulse (Palmaria palmata), dried or dehydrated","Dulse (Palmaria palmata), séchée ou déshydratée",23.17136354578145,4.825498841590001,393.0
ingredient:toothed_wrack_or_bladder_wrack_dried_or_dehydrated,"Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated","Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",23.171603325366544,4.826320195690001,393.0
ingredient:gracilaria_seaweeds_dried_or_dehydrated,"Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated","Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",23.573559772846444,4.832336980590001,396.0
ingredient:sea_thong_dried_or_dehydrated,"Sea thong (Himanthalia elongata), dried or dehydrated","Haricot de mer (Himanthalia elongata), séchée ou déshydratée",23.17136354578145,4.825498841590001,393.0
ingredient:tangle_dried_or_dehydrated,"Tangle (Laminaria digitata), dried or dehydrated","Kombu breton (Laminaria digitata), séchée ou déshydratée",23.171603325366544,4.826320195690001,393.0
ingredient:kombu_or_japanese_kelp_dried_or_dehydrated,"Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated","Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",23.573559772846444,4.832336980590001,396.0
ingredient:sea_belt_dried_or_dehydrated,"Sea belt (Saccharina latissima), dried or dehydrated","Kombu royal (Saccharina latissima), séchée ou déshydratée",23.573559772846444,4.832336980590001,396.0
ingredient:sea_lettuce_dried_or_dehydrated,"Sea lettuce (ulva sp.), dried or dehydrated)","Laitue de mer (Ulva sp.), séchée ou déshydratée",23.17136354578145,4.825498841590001,393.0
ingredient:carragheen_mosses_dried_or_dehydrated,"Carragheen mosses (Chondrus crispus), dried or dehydrated","Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",23.17136354578145,4.825498841590001,393.0
